# A股主要股票列表
# 格式: 股票代码  # 股票名称

# 银行股
600036.SS  # 招商银行
000001.SZ  # 平安银行
002142.SZ  # 宁波银行
600015.SS  # 华夏银行

# 食品饮料
002702.SZ  # 海欣食品
000858.SZ  # 五粮液
600519.SS  # 贵州茅台
000568.SZ  # 泸州老窖

# 科技股
000002.SZ  # 万科A
600276.SS  # 恒瑞医药
000063.SZ  # 中兴通讯
002415.SZ  # 海康威视

# 房地产
000002.SZ  # 万科A
600048.SS  # 保利发展
001979.SZ  # 招商蛇口
